bs,active experts,cache ratio,CPU,RAM (GB),GPU,switch-base-8/GPU-only/CPU,switch-base-64/GPU-only/CPU,switch-base-128/GPU-only/CPU,switch-base-8/Pre-gated/CPU,switch-base-64/Pre-gated/CPU,switch-base-128/Pre-gated/CPU,switch-base-8/DeepSpeed/CPU,switch-base-64/DeepSpeed/CPU,switch-base-128/DeepSpeed/CPU,switch-base-8/SE-MoE/CPU,switch-base-64/SE-MoE/CPU,switch-base-128/SE-MoE/CPU
1,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,0.379605,0.38078,0,0.802426,0.811361,0.887328,1.21007,1.21582,1.27181,6.41705,50.7992,101.548
2,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,0.404683,0.408857,0,1.13872,1.16048,1.19794,1.73782,1.74884,1.54374,6.34541,50.8731,101.518
4,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,0.429871,0.399901,0,1.59388,1.89136,1.76299,1.92989,2.15011,2.27015,6.35704,50.819,101.547
8,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,0.41311,0.414993,0,1.82097,2.65948,2.59597,2.34151,2.72608,3.17798,6.35022,50.92,101.447
16,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,0.468517,0.453272,0,2.1739,3.77276,3.75678,2.85536,3.71007,3.83209,6.33991,50.8832,101.525
