bs,active experts,cache ratio,CPU,RAM (GB),GPU,switch-base-128/Pre-gated/CPU,switch-base-128/DeepSpeed/CPU,switch-base-128/SE-MoE/CPU,switch-base-128/CF-MoE/CPU
1,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,3139960832,3117350912,7934050304,3148349440
2,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,3167223808,3125739520,7923564544,3175612416
4,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,3316121600,3236888576,7996964864,3324510208
8,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,3563585536,3408855040,8093433856,3571974144
16,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,3928489984,3679387648,8269594624,4012376064
32,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,4582801408,4182704128,8659664896,4628938752
64,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,6824656896,6235815936,10599530496,6908542976
128,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,8613527552,10300096512,12010913792,8621916160
