bs,active experts,cache ratio,CPU,RAM (GB),GPU,switch-base-8/GPU-only/CPU,switch-base-64/GPU-only/CPU,switch-base-128/GPU-only/CPU,switch-base-8/Pre-gated/CPU,switch-base-64/Pre-gated/CPU,switch-base-128/Pre-gated/CPU,switch-base-8/DeepSpeed/CPU,switch-base-64/DeepSpeed/CPU,switch-base-128/DeepSpeed/CPU,switch-base-8/SE-MoE/CPU,switch-base-64/SE-MoE/CPU,switch-base-128/SE-MoE/CPU
1,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,-469762048,3758096384,8589934592,1908932608,2487746560,3139960832,1886322688,2465136640,3117350912,2173173760,4865916928,7934050304
2,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,-469762048,3758096384,8589934592,1938292736,2512912384,3167223808,1896808448,2471428096,3125739520,2164785152,4853334016,7923564544
4,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,-469762048,3758096384,8589934592,2162688000,2661810176,3316121600,2083454976,2582577152,3236888576,2313682944,4926734336,7996964864
8,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,-469762048,3758096384,8589934592,2447900672,2909274112,3563585536,2368667648,2735669248,3408855040,2561146880,5023203328,8093433856
16,0,0,Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz,503,NVIDIA GeForce RTX 4090 D,-469762048,3758096384,8589934592,2963800064,3238526976,3966238720,2865692672,2989424640,3679387648,3039297536,5201461248,8269594624
